CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
13838336,2015,5320,152681332,267685947,5529273,61530344,200626330,2861902,49484105,,424477,373320599,100000,,,399323193,426753924,337907665,88846259,0,74090191,0,1723
13838336,2016,5320,100787401,238314502,5301439,75696779,157316284,4109522,74566366,,424477,268220582,100000,,512375946,584638430,479989544,104648886,0,89136448,0,2190,
13838336,2017,5320,153894790,252421439,5213181,77609817,169598441,2163035,102789221,,424477,305265566,100000,,585946144,601011378,521611350,79400028,0,67326427,0,2473,
13838336,2018,5320,181174540,307314929,5631849,85418476,216264604,2425013,154231533,,424477,336258472,100000,,686369661,710827527,616648183,94179344,0,80009748,0,2738,
13838336,2019,5320,155021186,359907502,5891277,118338887,235677338,3706895,94696629,,4934887,419004067,100000,,791763937,835474863,737792509,97682354,0,82745596,0,2978,
13838336,2020,5320,153842721,530088204,12198259,137871523,380018422,3581531,100369036,446563,5740870,580955987,100000,,1013572810,1045285555,847978662,197306893,0,172478234,0,3330,
13838336,2021,5320,147168281,620692382,10979050,151134343,458578989,4622716,118262244,721250,5888927,647610958,100000,,1046793532,1081259703,897564834,183694869,0,161391814,0,3386,
13838336,2022,5320,185060403,577229702,10207235,144821463,422201004,5893026,251601182,522500,7835409,508224040,100000,,1105333843,1146128915,1063826306,82302609,0,71139400,0,3468,
13838336,2023,5320,254498725,543480753,7644977,186762984,349072792,8254386,212174244,374746,10213228,583471646,100000,,1234490793,1300179898,1214401575,85778323,0,75247606,0,3833,
13838336,2024,5320,292737333,448003686,9892930,230028824,208081932,8905292,202167359,2466107,11197290,533815555,100000,,1394939596,1440468692,1358309870,82158822,0,70996084,0,3872,
